_id/$oid,_id_thi_sinh/$oid,ten_nganh,chuyen_nganh/0/ten_chuyen_nganh,__v
6165aa53c8f67628cc49213b,6165aa53c8f67628cc49213b,Luật,Luật Tư pháp,0
6165ac5bc88deafecd55174d,6165ac5bc88deafecd55174b,Bảo vệ thực vật,,0
6165acffc88deafecd551751,6165acffc88deafecd55174f,Không có,Không có,0
6165ad4ac88deafecd551755,6165ad49c88deafecd551753,Bảo vệ thực vật,,0
6165addfc88deafecd551759,6165addfc88deafecd551757,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6165ae3fc88deafecd55175d,6165ae3fc88deafecd55175b,Thú y,,0
6165af4cc88deafecd551761,6165af4cc88deafecd55175f,Luật,Luật Tư pháp,0
6165afa0c88deafecd551765,6165afa0c88deafecd551763,Luật,Luật Thương mại,0
6165afe8c88deafecd551769,6165afe8c88deafecd551767,Luật,Luật Hành chính,0
6165b060c88deafecd55176d,6165b060c88deafecd55176b,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6165b581c88deafecd551771,6165b581c88deafecd55176f,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6165b617c88deafecd551775,6165b617c88deafecd551773,Quản trị dịch vụ du lịch và lữ hành,,0
6165b668c88deafecd551779,6165b668c88deafecd551777,Không có,Không có,0
6165b6b6c88deafecd55177d,6165b6b6c88deafecd55177b,Thú y,,0
6165b6fdc88deafecd551781,6165b6fdc88deafecd55177f,Công nghệ thông tin,Tin học ứng dụng,0
6165b73fc88deafecd551785,6165b73fc88deafecd551783,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6165b7a4c88deafecd551789,6165b7a4c88deafecd551787,Không có,Không có,0
6165b7ecc88deafecd55178d,6165b7ecc88deafecd55178b,Quản trị kinh doanh,,0
6165b87dc88deafecd551791,6165b87dc88deafecd55178f,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6165b8d8c88deafecd551795,6165b8d8c88deafecd551793,Luật,Luật Tư pháp,0
616633b63575a3ebf2e20f9b,616633b63575a3ebf2e20f99,Bảo vệ thực vật,,0
61663434cd4238852e9ddc08,61663434cd4238852e9ddc06,Bảo vệ thực vật,,0
6166a973cd4238852e9ddc0c,6166a973cd4238852e9ddc0a,Không có,Không có,0
6166a9efcd4238852e9ddc10,6166a9efcd4238852e9ddc0e,Luật,Luật Hành chính,0
6166aa39cd4238852e9ddc14,6166aa39cd4238852e9ddc12,Kỹ thuật xây dựng,,0
6166aaa9cd4238852e9ddc18,6166aaa9cd4238852e9ddc16,Quản trị kinh doanh,,0
6166aae7cd4238852e9ddc1c,6166aae7cd4238852e9ddc1a,Ngôn ngữ Anh,Phiên dịch - Biên dịch tiếng Anh,0
6166ab28cd4238852e9ddc20,6166ab28cd4238852e9ddc1e,Quản trị dịch vụ du lịch và lữ hành,,0
6166ab65cd4238852e9ddc24,6166ab65cd4238852e9ddc22,Sư phạm tiếng Anh,,0
6166abb1cd4238852e9ddc28,6166abb1cd4238852e9ddc26,Luật,Luật Tư pháp,0
6166ac35cd4238852e9ddc2c,6166ac35cd4238852e9ddc2a,Kỹ thuật xây dựng,,0
6166ac6ccd4238852e9ddc30,6166ac6ccd4238852e9ddc2e,Công nghệ thực phẩm,,0
6166acb1cd4238852e9ddc34,6166acb1cd4238852e9ddc32,Quản trị kinh doanh,,0
6166acf6cd4238852e9ddc38,6166acf6cd4238852e9ddc36,Thú y,,0
6166ad7fcd4238852e9ddc40,6166ad7fcd4238852e9ddc3e,Luật,Luật Hành chính,0
6166adb9cd4238852e9ddc44,6166adb9cd4238852e9ddc42,Sư phạm Ngữ văn,,0
6166adf4cd4238852e9ddc48,6166adf4cd4238852e9ddc46,Quản lý tài nguyên và môi trường,,0
6166ae43cd4238852e9ddc4c,6166ae43cd4238852e9ddc4a,Tài chính - Ngân hàng,,0
6166ae8ccd4238852e9ddc50,6166ae8ccd4238852e9ddc4e,Tài chính - Ngân hàng,,0
6166e34e43f8917a04cd51ed,6166e34d43f8917a04cd51eb,Tài chính - Ngân hàng,,0
6166e40b43f8917a04cd51f1,6166e40b43f8917a04cd51ef,Luật,Luật Tư pháp,0
6166e48243f8917a04cd51f5,6166e48243f8917a04cd51f3,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166e50b43f8917a04cd51f9,6166e50b43f8917a04cd51f7,Việt Nam học,Hướng dẫn viên du lịch,0
6166e55b43f8917a04cd51fd,6166e55b43f8917a04cd51fb,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166e5ab43f8917a04cd5201,6166e5ab43f8917a04cd51ff,Quản lý đất đai,,0
6166e5f943f8917a04cd5205,6166e5f943f8917a04cd5203,Bảo vệ thực vật,,0
6166e64943f8917a04cd5209,6166e64943f8917a04cd5207,Kế tóan,,0
6166e67e43f8917a04cd520d,6166e67e43f8917a04cd520b,Luật,Luật Tư pháp,0
6166e6e843f8917a04cd5211,6166e6e843f8917a04cd520f,Luật,Luật Tư pháp,0
6166e72743f8917a04cd5215,6166e72743f8917a04cd5213,Kỹ thuật phần mềm,,0
6166e7c943f8917a04cd521a,6166e7c943f8917a04cd5218,Việt Nam học,Hướng dẫn viên du lịch,0
6166e81643f8917a04cd521e,6166e81643f8917a04cd521c,Luật,Luật Tư pháp,0
6166e85d43f8917a04cd5222,6166e85d43f8917a04cd5220,Sư phạm tiếng Anh,,0
6166e89b43f8917a04cd5226,6166e89b43f8917a04cd5224,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166e8e843f8917a04cd522a,6166e8e843f8917a04cd5228,Mạng máy tính và truyền thông dữ liệu,,0
6166e94943f8917a04cd522e,6166e94943f8917a04cd522c,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166e9b243f8917a04cd5232,6166e9b243f8917a04cd5230,Sư phạm tiếng Anh,,0
6166e9fa43f8917a04cd5236,6166e9fa43f8917a04cd5234,Quản trị kinh doanh,,0
6166ea3543f8917a04cd523a,6166ea3543f8917a04cd5238,Luật,Luật Tư pháp,0
6166ea7543f8917a04cd523e,6166ea7543f8917a04cd523c,Công nghệ thông tin,,0
6166eabe43f8917a04cd5242,6166eabe43f8917a04cd5240,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166ecee43f8917a04cd5246,6166ecee43f8917a04cd5244,Luật,Luật Hành chính,0
6166ed2843f8917a04cd524a,6166ed2843f8917a04cd5248,Kỹ thuật điện,,0
6166edd543f8917a04cd524e,6166edd543f8917a04cd524c,Sư phạm tiếng Anh,,0
6166ee4843f8917a04cd5252,6166ee4843f8917a04cd5250,Kinh doanh quốc tế,,0
6166ef4743f8917a04cd5256,6166ef4743f8917a04cd5254,Công nghệ thông tin,,0
6166efbb43f8917a04cd525a,6166efbb43f8917a04cd5258,Không có,Không có,0
6166f07643f8917a04cd525e,6166f07643f8917a04cd525c,Kinh doanh quốc tế,,0
6166f0b443f8917a04cd5262,6166f0b343f8917a04cd5260,Công nghệ thực phẩm,,0
6166f0e943f8917a04cd5266,6166f0e943f8917a04cd5264,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166f1a243f8917a04cd526a,6166f1a243f8917a04cd5268,Tài chính - Ngân hàng,,0
6166f1da43f8917a04cd526e,6166f1da43f8917a04cd526c,Tài chính - Ngân hàng,,0
6166f20f43f8917a04cd5272,6166f20f43f8917a04cd5270,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166f27d43f8917a04cd5277,6166f27d43f8917a04cd5275,Kỹ thuật xây dựng,,0
6166f2f843f8917a04cd527b,6166f2f843f8917a04cd5279,Luật,Luật Thương mại,0
6166f33443f8917a04cd527f,6166f33443f8917a04cd527d,Luật,Luật Thương mại,0
6166f38043f8917a04cd5283,6166f38043f8917a04cd5281,Kế tóan,,0
6166f3c143f8917a04cd5287,6166f3c143f8917a04cd5285,Kế tóan,,0
6166f3fb43f8917a04cd528b,6166f3fb43f8917a04cd5289,Quản trị dịch vụ du lịch và lữ hành,,0
6166f43843f8917a04cd528f,6166f43843f8917a04cd528d,Sư phạm Toán học,,0
6166f47743f8917a04cd5293,6166f47743f8917a04cd5291,Sư phạm Toán học,,0
6166f4c543f8917a04cd5297,6166f4c543f8917a04cd5295,Quản trị kinh doanh,,0
6166f4ff43f8917a04cd529b,6166f4ff43f8917a04cd5299,Kế tóan,,0
6166f56943f8917a04cd529f,6166f56943f8917a04cd529d,Bảo vệ thực vật,,0
6166f82b43f8917a04cd52a3,6166f82b43f8917a04cd52a1,Quản trị kinh doanh,,0
6166f89043f8917a04cd52a7,6166f89043f8917a04cd52a5,Không có,Không có,0
6166f8eb43f8917a04cd52ab,6166f8eb43f8917a04cd52a9,Kế tóan,,0
6166f93743f8917a04cd52af,6166f93743f8917a04cd52ad,Công nghệ thông tin,Công nghệ thông tin,0
6166f98743f8917a04cd52b3,6166f98743f8917a04cd52b1,Kế tóan,,0
6166f9c443f8917a04cd52b7,6166f9c443f8917a04cd52b5,Quản trị kinh doanh,,0
6166f9fd43f8917a04cd52bb,6166f9fd43f8917a04cd52b9,Quản trị kinh doanh,,0
6166fa3643f8917a04cd52bf,6166fa3643f8917a04cd52bd,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166fa7f43f8917a04cd52c3,6166fa7f43f8917a04cd52c1,Kinh tế,,0
6166face43f8917a04cd52c7,6166face43f8917a04cd52c5,Luật,Luật Hành chính,0
6166fb3343f8917a04cd52cb,6166fb3343f8917a04cd52c9,Sư phạm Toán học,,0
6166fb6c43f8917a04cd52cf,6166fb6c43f8917a04cd52cd,Luật,Luật Thương mại,0
6166fbc343f8917a04cd52d3,6166fbc343f8917a04cd52d1,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166fc0243f8917a04cd52d7,6166fc0243f8917a04cd52d5,Không có,Không có,0
6166fc4643f8917a04cd52db,6166fc4643f8917a04cd52d9,Không có,Không có,0
6166fc8943f8917a04cd52df,6166fc8943f8917a04cd52dd,Kỹ thuật xây dựng,,0
6166fcdd43f8917a04cd52e3,6166fcdd43f8917a04cd52e1,Không có,Không có,0
6166fd1943f8917a04cd52e7,6166fd1943f8917a04cd52e5,Quản trị kinh doanh,,0
6166fd4f43f8917a04cd52eb,6166fd4f43f8917a04cd52e9,Kế tóan,,0
6166fd9243f8917a04cd52ef,6166fd9243f8917a04cd52ed,Kỹ thuật xây dựng,,0
6166fdce43f8917a04cd52f3,6166fdce43f8917a04cd52f1,Luật,Luật Thương mại,0
6166fe0443f8917a04cd52f7,6166fe0443f8917a04cd52f5,Ngôn ngữ Anh,Phiên dịch - Biên dịch tiếng Anh,0
6166fe3a43f8917a04cd52fb,6166fe3a43f8917a04cd52f9,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166fe7d43f8917a04cd52ff,6166fe7d43f8917a04cd52fd,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166feb943f8917a04cd5303,6166feb943f8917a04cd5301,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166ff1e43f8917a04cd5307,6166ff1e43f8917a04cd5305,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166ff5543f8917a04cd530b,6166ff5543f8917a04cd5309,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166ff8d43f8917a04cd530f,6166ff8d43f8917a04cd530d,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166ffc443f8917a04cd5313,6166ffc443f8917a04cd5311,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6166fff743f8917a04cd5317,6166fff743f8917a04cd5315,Công nghệ thông tin,Tin học ứng dụng,0
6167002f43f8917a04cd531b,6167002f43f8917a04cd5319,Luật,Luật Tư pháp,0
6167006943f8917a04cd531f,6167006943f8917a04cd531d,Quản trị kinh doanh,,0
616700a443f8917a04cd5323,616700a443f8917a04cd5321,Ngôn ngữ Anh,Ngôn ngữ Anh,0
616700e443f8917a04cd5327,616700e443f8917a04cd5325,Ngôn ngữ Anh,Ngôn ngữ Anh,0
616701a143f8917a04cd532b,616701a143f8917a04cd5329,Ngôn ngữ Anh,Ngôn ngữ Anh,0
616701dd43f8917a04cd532f,616701dd43f8917a04cd532d,Xã hội học,,0
6167021a43f8917a04cd5333,6167021a43f8917a04cd5331,Không có,Không có,0
6167025043f8917a04cd5337,6167025043f8917a04cd5335,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6167028943f8917a04cd533b,6167028943f8917a04cd5339,Kỹ thuật xây dựng,,0
616702bc43f8917a04cd533f,616702bc43f8917a04cd533d,Chăn nuôi,,0
616702f743f8917a04cd5343,616702f743f8917a04cd5341,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6167032b43f8917a04cd5347,6167032b43f8917a04cd5345,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6167036643f8917a04cd534b,6167036643f8917a04cd5349,Ngôn ngữ Anh,Ngôn ngữ Anh,0
616703a043f8917a04cd534f,616703a043f8917a04cd534d,Ngôn ngữ Anh,Ngôn ngữ Anh,0
616703df43f8917a04cd5353,616703df43f8917a04cd5351,Giáo dục Tiểu học,,0
6167041a43f8917a04cd5357,6167041a43f8917a04cd5355,Không có,Không có,0
6167045343f8917a04cd535b,6167045343f8917a04cd5359,Kỹ thuật xây dựng,,0
6167048143f8917a04cd535f,6167048143f8917a04cd535d,Kỹ thuật xây dựng,,0
616704b543f8917a04cd5363,616704b543f8917a04cd5361,Quản trị kinh doanh,,0
616704e643f8917a04cd5367,616704e643f8917a04cd5365,Luật,Luật Tư pháp,0
6167051d43f8917a04cd536b,6167051d43f8917a04cd5369,Giáo dục Tiểu học,,0
6167058343f8917a04cd536f,6167058343f8917a04cd536d,Marketing,,0
616705ea43f8917a04cd5373,616705ea43f8917a04cd5371,Sư phạm Toán học,,0
6167062543f8917a04cd5377,6167062543f8917a04cd5375,Sư phạm Toán học,,0
6167066f43f8917a04cd537b,6167066f43f8917a04cd5379,Luật,Luật Tư pháp,0
616706b543f8917a04cd537f,616706b543f8917a04cd537d,Luật,Luật Hành chính,0
616706f843f8917a04cd5383,616706f843f8917a04cd5381,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6167073243f8917a04cd5387,6167073243f8917a04cd5385,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6167076f43f8917a04cd538b,6167076f43f8917a04cd5389,Giáo dục Tiểu học,,0
616707a143f8917a04cd538f,616707a143f8917a04cd538d,Ngôn ngữ Anh,Ngôn ngữ Anh,0
616707e243f8917a04cd5393,616707e243f8917a04cd5391,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6167081f43f8917a04cd5397,6167081f43f8917a04cd5395,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6167085b43f8917a04cd539b,6167085b43f8917a04cd5399,Kinh doanh quốc tế,,0
616708a843f8917a04cd539f,616708a843f8917a04cd539d,Marketing,,0
616708fe43f8917a04cd53a3,616708fe43f8917a04cd53a1,Tài chính - Ngân hàng,,0
6167095a43f8917a04cd53a7,6167095a43f8917a04cd53a5,Quản trị dịch vụ du lịch và lữ hành,,0
616709cb43f8917a04cd53ab,616709cb43f8917a04cd53a9,Kế tóan,,0
61670a0443f8917a04cd53af,61670a0443f8917a04cd53ad,Quản trị kinh doanh,,0
61670ae943f8917a04cd53b3,61670ae943f8917a04cd53b1,Kỹ thuật môi trường,,0
61670bb543f8917a04cd53b8,61670bb543f8917a04cd53b6,Việt Nam học,Hướng dẫn viên du lịch,0
61670c7f43f8917a04cd53bc,61670c7f43f8917a04cd53ba,Kinh doanh quốc tế,,0
61670cdb43f8917a04cd53c0,61670cdb43f8917a04cd53be,Không có,Không có,0
61670d1843f8917a04cd53c4,61670d1843f8917a04cd53c2,Việt Nam học,Hướng dẫn viên du lịch,0
61670e2d43f8917a04cd53c8,61670e2d43f8917a04cd53c6,Kỹ thuật xây dựng,,0
61670f0143f8917a04cd53ce,61670f0143f8917a04cd53cc,Kinh tế,,0
61670f3443f8917a04cd53d2,61670f3443f8917a04cd53d0,Ngôn ngữ Anh,Ngôn ngữ Anh,0
61670faa43f8917a04cd53d6,61670faa43f8917a04cd53d4,Không có,Không có,0
61670ff843f8917a04cd53da,61670ff843f8917a04cd53d8,Ngôn ngữ Anh,Ngôn ngữ Anh,0
6167103843f8917a04cd53de,6167103843f8917a04cd53dc,Không có,Không có,0
6167108343f8917a04cd53e2,6167108343f8917a04cd53e0,Sư phạm tiếng Anh,,0
616710e043f8917a04cd53e6,616710e043f8917a04cd53e4,Không có,Không có,0
6167113143f8917a04cd53ea,6167113143f8917a04cd53e8,Sư phạm tiếng Anh,,0
616713c036a4176baf36a688,616713c036a4176baf36a686,Luật,Luật Thương mại,0
61678f8c1c414fe1310cb05c,61678f8c1c414fe1310cb05a,Ngôn ngữ Anh,Ngôn ngữ Anh,0
61678fdc1c414fe1310cb060,61678fdb1c414fe1310cb05e,Kỹ thuật xây dựng,,0
616790561c414fe1310cb064,616790561c414fe1310cb062,Marketing,,0
6167908b1c414fe1310cb068,6167908b1c414fe1310cb066,Sư phạm Toán học,,0
616790bb1c414fe1310cb06c,616790bb1c414fe1310cb06a,Công nghệ thông tin,,0
616796361c414fe1310cb070,616796361c414fe1310cb06e,Việt Nam học,Hướng dẫn viên du lịch,0
616796841c414fe1310cb074,616796841c414fe1310cb072,Marketing,,0
6167d7a11c414fe1310cb078,6167d7a11c414fe1310cb076,Kế tóan,,0
6167d7f81c414fe1310cb07c,6167d7f81c414fe1310cb07a,Kế tóan,,0
61699ef1e0bd0187d1041f99,61699ef1e0bd0187d1041f97,Luật,Luật Tư pháp,0
616ae387333889b6d2f111a8,616ae387333889b6d2f111a6,Không có,Không có,0
616ae3e3333889b6d2f111ac,616ae3e3333889b6d2f111aa,Không có,Không có,0
616ae43f333889b6d2f111b0,616ae43f333889b6d2f111ae,Marketing,,0
616ae484333889b6d2f111b4,616ae484333889b6d2f111b2,Tài chính - Ngân hàng,,0
616ae4ec333889b6d2f111b8,616ae4eb333889b6d2f111b6,Sư phạm tiếng Anh,,0
616ae52f333889b6d2f111bc,616ae52f333889b6d2f111ba,Không có,Không có,0
616ae6729f46b908e4a7c523,616ae6729f46b908e4a7c521,Không có,Không có,0
